Date,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,is_month_end,is_month_start,is_quarter_end,dom_bin,trend,sin_365d_k1,cos_365d_k1,sin_365d_k2,cos_365d_k2,sin_365d_k3,cos_365d_k3,sin_365d_k4,cos_365d_k4,sin_7d_k1,cos_7d_k1,sin_7d_k2,cos_7d_k2,sin_7d_k3,cos_7d_k3,rev_lag_365,rev_lag_364,rev_lag_728,rev_lag365_roll7,rev_lag365_roll30,log_rev_lag_365,log_monthly_avg,monthly_avg_rev,trend_multiplier,days_to_tet,pre_tet_7d,pre_tet_14d,post_tet_7d,is_fixed_holiday,is_tet_holiday,is_black_friday_month,is_1111,is_1212,sessions_lag_365,visitors_lag_365,n_active_promos,max_promo_discount,has_stackable_promo
2023-01-12,2023,1,12,3,12,2,1,0,0,0,0,1,3844,0.2051044998686192,0.9787400799669153,0.401487989205973,0.9158642882672872,0.5808002734538009,0.8140460935082178,0.7354170229639855,0.6776147890466889,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,1775526.5,1173172.99,764427.24,1696545.9928571428,1903665.1876666665,14.389608119840094,14.470244086912368,1924628.590967742,1.0004162312780862,10,0,1,0,0,0,0,0,0,16161.0,11943.0,0,0.0,0
2023-01-13,2023,1,13,4,13,2,1,0,0,0,0,1,3845,0.2219215130041655,0.9750645322571948,0.4327755925504312,0.901501684131884,0.6220467484408675,0.7829801036770629,0.7802958510707755,0.6254105729852463,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,1173172.99,1548726.82,977003.78,1747667.9585714287,1895312.7143333333,13.975223445706701,14.470244086912368,1924628.590967742,1.000450925037176,9,0,1,0,0,0,0,0,0,17441.0,13941.0,0,0.0,0
2023-01-14,2023,1,14,5,14,2,1,1,0,0,0,1,3846,0.2386727660059501,0.9711000518829505,0.4635502709028509,0.886070621534138,0.6616346182422783,0.7498264012045686,0.8214765533024142,0.5702422926917871,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,1548726.82,1461990.71,1185774.61,1612333.6714285712,1852883.8003333334,14.252944390596143,14.470244086912368,1924628.590967742,1.000485619999422,8,0,1,0,0,0,0,0,0,18087.0,13318.0,0,0.0,0
2023-01-15,2023,1,15,6,15,2,1,1,0,0,0,1,3847,0.255353295116187,0.9668478136052775,0.49377555015997715,0.869589389346611,0.699458327051647,0.7146733860429609,0.8587639582758029,0.5123714121284237,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,1461990.71,2064339.13,1224098.2,1643819.2185714284,1854718.6670000001,14.195310248961148,14.470244086912368,1924628.590967742,1.000520316164866,7,1,0,0,0,0,0,0,0,15371.0,11711.0,0,0.0,0
2023-01-16,2023,1,16,0,16,3,1,0,0,0,0,1,3848,0.2719581575341055,0.9623090774541486,0.5234156073655503,0.8520775211013093,0.7354170229639855,0.6776147890466889,0.8919813464595485,0.45207220393230435,0.0,1.0,0.0,1.0,0.0,1.0,2064339.13,1621773.2,2502006.18,1678867.2228571426,1883455.2256666669,14.540321183673601,14.470244086912368,1924628.590967742,1.0005550135335493,6,1,0,0,0,0,0,0,0,16172.0,12808.0,0,0.0,0
2023-01-17,2023,1,17,1,17,3,1,0,0,0,0,1,3849,0.288482432880609,0.9574851883550393,0.5524353131676196,0.8335557718385699,0.7694148268839378,0.6387494220515272,0.9209712877166346,0.38963044953078796,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,1621773.2,1861205.18,2011018.39,1689733.0185714285,1891044.3616666666,14.299031293115965,14.470244086912368,1924628.590967742,1.000589712105514,5,1,0,0,0,0,0,0,0,17394.0,12263.0,0,0.0,0
2023-01-18,2023,1,18,2,18,3,1,0,0,0,0,1,3850,0.30492122465628907,0.9523775757303974,0.5808002734538009,0.8140460935082178,0.8013610881746766,0.5981809144059165,0.9455963874271426,0.3253420847119801,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,1861205.18,2020862.53,1595354.2,1694336.1657142856,1934728.0576666666,14.436735319385544,14.470244086912368,1924628.590967742,1.0006244118808019,4,1,0,0,0,0,0,0,0,16276.0,13141.0,0,0.0,0
2023-01-19,2023,1,19,3,19,3,1,0,0,0,0,1,3851,0.3212696616923644,0.9469877530760753,0.6084768701151261,0.7935716089521474,0.8311706263658079,0.5560174366570446,0.9657399376548549,0.2595117970697999,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,2020862.53,1249233.56,1698207.91,1736708.0357142857,2018956.5726666667,14.519035468128537,14.470244086912368,1924628.590967742,1.0006591128594544,3,1,0,0,0,0,0,0,0,13271.0,9704.0,0,0.0,0
2023-01-20,2023,1,20,4,20,3,1,0,0,0,0,1,3852,0.3375228995941133,0.9413173175128471,0.6354323008901774,0.7721565844991642,0.8587639582758029,0.5123714121284237,0.9813064702716093,0.19245158197082998,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,1249233.56,1580948.85,1620041.5,1696850.755714286,2012776.57,14.038041569714425,14.470244086912368,1924628.590967742,1.0006938150415134,2,1,0,0,0,0,0,0,0,16831.0,12226.0,0,0.0,0
2023-01-21,2023,1,21,5,21,3,1,1,0,0,0,2,3853,0.3536761221763716,0.9353679493131483,0.6616346182422783,0.7498264012045686,0.8840675099433636,0.4673592171580022,0.9922222094179323,0.12447926388678915,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,1580948.85,1758593.8,1744298.27,1738869.767142857,2023619.395,14.273536395258398,14.470244086912368,1924628.590967742,1.0007285184270207,1,1,0,0,0,0,0,0,0,15120.0,11837.0,0,0.0,0
2023-01-22,2023,1,22,6,22,3,1,1,0,0,0,2,3854,0.3697245428906731,0.9291414114031743,0.6870527672236669,0.7266075247685656,0.9070138128026359,0.4211008707960896,0.9984354211555643,0.055916990100603484,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,1758593.8,1785338.17,1862707.42,1826008.927142857,2034711.3333333333,14.380025639025135,14.470244086912368,1924628.590967742,1.000763223016018,0,1,0,0,0,1,0,0,0,18072.0,12999.0,0,0.0,0
2023-01-23,2023,1,23,0,23,4,1,0,0,0,0,2,3855,0.38566340624360707,0.9226395488404876,0.7116566222817746,0.7025274741691571,0.9275416835791966,0.37371971479046906,0.9999166586547379,-0.01291029607500882,0.0,1.0,0.0,1.0,0.0,1.0,1785338.17,1915906.28,2346216.5,1862881.9685714287,2036897.356,14.395118966350516,14.470244086912368,1924628.590967742,1.000797928808547,1,1,0,1,0,0,0,0,0,14482.0,10941.0,0,0.0,0
2023-01-24,2023,1,24,1,24,4,1,0,0,0,0,2,3856,0.401487989205973,0.9158642882672872,0.7354170229639855,0.6776147890466889,0.9455963874271426,0.3253420847119801,0.9966589017541702,-0.08167639533042241,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,1915906.28,2471179.3,2993616.58,1913632.8871428573,2041408.2166666666,14.465701843857646,14.470244086912368,1924628.590967742,1.0008326358046493,2,1,0,1,0,0,0,0,0,16327.0,12551.0,0,0.0,0
2023-01-25,2023,1,25,2,25,4,1,0,0,0,0,2,3857,0.4171936026123168,0.9088176373395029,0.7583058084785624,0.6518989958787126,0.9611297838723007,0.27609697309746883,0.9886775902323405,-0.1500553983446526,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,2471179.3,2278973.82,2258351.94,2086685.5485714285,2061992.7816666667,14.720206448719189,14.470244086912368,1924628.590967742,1.0008673440043667,3,1,0,1,0,0,0,0,0,14769.0,11760.0,0,0.0,0
2023-01-26,2023,1,26,3,26,4,1,0,0,0,0,2,3858,0.4327755925504312,0.901501684131884,0.7802958510707755,0.6254105729852463,0.9741004551724205,0.22611568550828828,0.9760105506323683,-0.21772323039653177,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,2278973.82,1604489.99,2405871.45,2392262.5057142857,2045954.6123333334,14.639236259461212,14.470244086912368,1924628.590967742,1.0009020534077413,4,1,0,1,0,0,0,0,0,16497.0,12386.0,0,0.0,0
2023-01-27,2023,1,27,4,27,4,1,0,0,0,0,2,3859,0.4482293417404106,0.893918596519257,0.8013610881746766,0.5981809144059165,0.9844738167520922,0.1755314904214282,0.9587178169872964,-0.2843591872810034,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,1604489.99,2792317.48,2246568.53,2694828.56,2047326.337,14.288317124059754,14.470244086912368,1924628.590967742,1.0009367640148144,5,1,0,1,0,0,0,0,0,20276.0,14709.0,0,0.0,0
2023-01-28,2023,1,28,5,28,4,1,1,0,0,0,2,3860,0.4635502709028509,0.886070621534138,0.8214765533024142,0.5702422926917871,0.9922222094179323,0.12447926388678915,0.9368813462954315,-0.3496474552512284,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,2792317.48,3897632.5,2167603.39,2872531.884285714,2050418.0386666665,14.842382805126961,14.470244086912368,1924628.590967742,1.000971475825628,6,1,0,1,0,0,0,0,0,16752.0,13732.0,0,0.0,0
2023-01-29,2023,1,29,6,29,4,1,1,0,0,0,2,3861,0.47873384011578846,0.8779600847008882,0.8406184056344782,0.5416278206559814,0.9973249731081555,0.07309512989807777,0.9106046300942162,-0.4132786077829042,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,3897632.5,3903300.55,1607178.02,3044145.6814285717,2094101.4549999998,15.175880132053564,14.470244086912368,1924628.590967742,1.0010061888402237,7,1,0,1,0,0,0,0,0,14842.0,11909.0,0,0.0,0
2023-01-30,2023,1,30,0,30,5,1,0,0,0,0,2,3862,0.49377555015997715,0.869589389346611,0.8587639582758029,0.5123714121284237,0.9997685019798909,0.021516097436222254,0.8800122039735357,-0.47495107206704995,0.0,1.0,0.0,1.0,0.0,1.0,3903300.55,3159829.55,1551374.11,3157495.0171428574,2124846.855,15.177333304259488,14.470244086912368,1924628.590967742,1.0010409030586431,8,0,1,0,0,0,0,0,0,14890.0,11490.0,0,0.0,0
2023-01-31,2023,1,31,1,31,5,1,0,1,0,0,2,3863,0.5086709438521044,0.8609610158889943,0.8758917051442429,0.48250774176121847,0.9995462806873573,-0.030120304846908114,0.8452490573530633,-0.5343725582809786,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,3159829.55,3672475.88,958876.9,3079270.632857143,2158702.200666667,14.966028960707586,14.470244086912368,1924628.590967742,1.0010756184809284,9,0,1,0,0,0,0,0,0,14632.0,10842.0,0,0.0,0
2023-02-01,2023,2,1,2,32,5,1,0,0,1,0,0,3864,0.5234156073655503,0.8520775211013093,0.8919813464595485,0.45207220393230435,0.9966589017541702,-0.08167639533042241,0.8064799463209448,-0.5912614448635781,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,3672475.88,3072419.17,1095535.11,2842548.471428571,2186939.912666667,15.116376891571278,14.854058409772934,2825110.5535714286,1.001110335107121,10,0,1,0,0,0,0,0,0,21868.0,17710.0,0,0.0,0
2023-02-02,2023,2,2,3,33,5,1,0,0,0,0,0,3865,0.5380051715382996,0.8429415373547828,0.9070138128026359,0.4211008707960896,0.9911140639934547,-0.1330147065341959,0.7638886127905428,-0.6453481132295501,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,3072419.17,1056919.3,1345207.17,2475144.7957142857,2239183.397,14.937976137985519,14.854058409772934,2825110.5535714286,1.001145052937263,11,0,1,0,0,0,0,0,0,27306.0,21266.0,0,0.0,0
2023-02-03,2023,2,3,4,34,5,1,0,0,0,0,0,3866,0.5524353131676196,0.8335557718385699,0.9209712877166346,0.38963044953078796,0.9829265519799822,-0.18399835165768005,0.717676913675962,-0.6963762255968722,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,1056919.3,1135262.35,1749418.05,2111893.9057142856,2255976.6236666664,13.870869859928133,14.854058409772934,2825110.5535714286,1.0011797719713955,12,0,1,0,0,0,0,0,0,26597.0,21388.0,0,0.0,0
2023-02-04,2023,2,4,5,35,5,1,1,0,0,0,0,3867,0.5667017562911176,0.8239230057575542,0.9338372288229252,0.35769823883312546,0.9721181966290613,-0.23449138957040985,0.6680638642135335,-0.7441039398713607,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,1135262.35,1325806.77,1240787.91,1914357.2371428572,2262550.37,13.942375208415388,14.854058409772934,2825110.5535714286,1.001214492209561,13,0,1,0,0,0,0,0,0,23796.0,18040.0,0,0.0,0
2023-02-05,2023,2,5,6,36,5,1,1,0,0,0,0,3868,0.5808002734538009,0.8140460935082178,0.9455963874271426,0.3253420847119801,0.9587178169872964,-0.2843591872810034,0.6152845999633276,-0.7883050558305255,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,1325806.77,1360544.32,1814367.53,1721721.0142857141,2304152.0593333333,14.097532469384715,14.854058409772934,2825110.5535714286,1.0012492136518005,14,0,1,0,0,0,0,0,0,23738.0,17660.0,0,0.0,0
2023-02-06,2023,2,6,0,37,6,1,0,0,0,0,0,3869,0.5947266869607634,0.8039279618328213,0.9562348265919056,0.29260033563334836,0.9427611433904207,-0.3334687789181868,0.5595892624101765,-0.8287700871745038,0.0,1.0,0.0,1.0,0.0,1.0,1360544.32,1777072.87,1325809.68,1581085.1514285714,2360604.231,14.123396147933246,14.854058409772934,2825110.5535714286,1.0012839362981565,15,0,0,0,0,0,0,0,0,23675.0,18804.0,0,0.0,0
2023-02-07,2023,2,7,1,38,6,1,0,0,0,0,0,3870,0.6084768701151261,0.7935716089521474,0.9657399376548549,0.2595117970697999,0.9242907221930933,-0.3816892202666588,0.5012418134457758,-0.865307254363206,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,1777072.87,2324022.32,1448124.96,1670376.407142857,2409713.7539999997,14.390478676334679,14.854058409772934,2825110.5535714286,1.0013186601486703,16,0,0,0,0,0,0,0,0,21436.0,16245.0,0,0.0,0
2023-02-08,2023,2,8,2,39,6,1,0,0,0,0,0,3871,0.6220467484408675,0.7829801036770629,0.9741004551724205,0.22611568550828828,0.9033558023246845,-0.4288919379124835,0.440518784350495,-0.8977433935342337,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,2324022.32,2087968.13,1851743.73,1775092.8642857145,2471739.736333333,14.658810431327002,14.854058409772934,2825110.5535714286,1.0013533852033838,17,0,0,0,0,0,0,0,0,26112.0,20992.0,0,0.0,0
2023-02-09,2023,2,9,3,40,6,1,0,0,0,0,0,3872,0.6354323008901774,0.7721565844991642,0.9813064702716093,0.19245158197082998,0.8800122039735357,-0.47495107206704995,0.3777079652039649,-0.9259247771938498,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,2087968.13,1681958.09,1689417.95,1940502.68,2517796.0383333336,14.551702443392616,14.854058409772934,2825110.5535714286,1.0013881114623386,18,0,0,0,0,0,0,0,0,26252.0,21176.0,0,0.0,0
2023-02-10,2023,2,10,4,41,6,1,0,0,0,0,0,3873,0.6486295610349814,0.7611042586607747,0.9873494423939864,0.15855938510313475,0.854322169749827,-0.5197438121555155,0.3131070409358269,-0.9497178427914316,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,1681958.09,1868277.55,1983824.96,2099151.8942857143,2527718.427333333,14.335469796983807,14.854058409772934,2825110.5535714286,1.0014228389255768,19,0,0,0,0,0,0,0,0,23043.0,16686.0,0,0.0,0
2023-02-11,2023,2,11,5,42,6,1,1,0,0,0,1,3874,0.6616346182422783,0.7498264012045686,0.9922222094179323,0.12447926388678915,0.8263541987239096,-0.5631507242749186,0.24702218048093552,-0.9690098257244062,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,1868277.55,2483675.48,1986462.63,2199234.495714286,2549878.866,14.44052800335649,14.854058409772934,2825110.5535714286,1.0014575675931399,20,0,0,0,0,0,0,0,0,20118.0,16255.0,0,0.0,0
2023-02-12,2023,2,12,6,43,6,1,1,0,0,0,1,3875,0.6744436188329455,0.7383263540031065,0.995918996147179,0.09025161003104117,0.7961828637826158,-0.6050560696488488,0.1797665857255624,-0.9837092937736097,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,2483675.48,2471088.82,2942830.48,2283155.6628571427,2706554.199,14.725250472007446,14.854058409772934,2825110.5535714286,1.0014922974650697,21,0,0,0,0,0,0,0,0,24012.0,19085.0,0,0.0,0
2023-02-13,2023,2,13,0,44,7,1,0,0,0,0,1,3876,0.6870527672236669,0.7266075247685656,0.9984354211555643,0.055916990100603484,0.7638886127905428,-0.6453481132295501,0.11165900712169512,-0.993746580436178,0.0,1.0,0.0,1.0,0.0,1.0,2471088.82,2477651.08,3142099.08,2440457.034285714,2801888.308,14.720169833966125,14.854058409772934,2825110.5535714286,1.001527028541408,22,0,0,0,0,0,0,0,0,23278.0,16982.0,0,0.0,0
2023-02-14,2023,2,14,1,45,7,1,0,0,0,0,1,3877,0.699458327051647,0.7146733860429609,0.9997685019798909,0.021516097436222254,0.7295575540864875,-0.6839194216246106,0.04302223300453059,-0.99907411510223,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,2477651.08,2911470.49,1874868.49,2538034.7328571426,2872207.5200000005,14.722821927762473,14.854058409772934,2825110.5535714286,1.0015617608221967,23,0,0,0,0,0,0,0,0,23850.0,17502.0,0,0.0,0
2023-02-15,2023,2,15,2,46,7,1,0,0,0,0,1,3878,0.7116566222817746,0.7025274741691571,0.9999166586547379,-0.01291029607500882,0.6932812268869777,-0.7206671495538609,-0.02581844022713239,-0.9996666485105112,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,2911470.49,3189077.73,2468895.03,2588005.785714286,2893188.312666667,14.884169178008037,14.854058409772934,2825110.5535714286,1.0015964943074773,24,0,0,0,0,0,0,0,0,25068.0,19127.0,0,0.0,0
2023-02-16,2023,2,16,3,47,7,1,0,0,0,0,1,3879,0.7236440382959124,0.6901733882429719,0.9988797155850336,-0.04732138832243185,0.6551563572090853,-0.7554933140726803,-0.09453674981719933,-0.9955213724144752,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,3189077.73,2365001.98,1729200.62,2589949.8942857147,2961919.5306666666,14.975242633677416,14.854058409772934,2825110.5535714286,1.0016312289972917,25,0,0,0,0,0,0,0,0,21370.0,15872.0,0,0.0,0
2023-02-17,2023,2,17,4,48,7,1,0,0,0,0,1,3880,0.7354170229639855,0.6776147890466889,0.9966589017541702,-0.08167639533042241,0.6152845999633276,-0.7883050558305255,-0.16280701293851646,-0.9866579328916572,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,2365001.98,2218074.92,2485137.46,2704724.9200000004,2876622.904,14.67628983994966,14.854058409772934,2825110.5535714286,1.0016659648916817,26,0,0,0,0,0,0,0,0,25737.0,20825.0,0,0.0,0
2023-02-18,2023,2,18,5,49,7,1,1,0,0,0,1,3881,0.7469720876965552,0.6648553979642865,0.9932568492674143,-0.11593459959550041,0.5737722679043246,-0.8190148866680801,-0.23030567023061196,-0.973118337233262,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,2218074.92,2497284.24,2510521.11,2812471.8357142857,2816395.9786666664,14.612150675341816,14.854058409772934,2825110.5535714286,1.001700701990689,27,0,0,0,0,0,0,0,0,21990.0,15713.0,0,0.0,0
2023-02-19,2023,2,19,6,50,7,1,1,0,0,0,1,3882,0.7583058084785624,0.6518989958787126,0.9886775902323405,-0.1500553983446526,0.5307300481619334,-0.8475409228928311,-0.2967128192734901,-0.9549667548552553,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,2497284.24,3274514.0,2673937.37,2917421.4285714286,2845085.4756666664,14.730714795817505,14.854058409772934,2825110.5535714286,1.0017354402943555,28,0,0,0,0,0,0,0,0,21404.0,15530.0,0,0.0,0
